Acacia,アカシア
Appetizer,アペタイザー
Around the World,アラウンド・ザ・ワールド
Bloodhound,ブラッドハウンド
Blue Coral Reef,青い珊瑚礁
Blue Moon,ブルー・ムーン
Bronx,ブロンクス
Cajun Martini,ケージャン・マティーニ
City Coral,シティ・コーラル
Dirty Martini,ダーティ・マティーニ
Earthquake,アースクェイク
Florida,フロリダ
French75,フレンチ75
Gibson,ギブソン
Gimlet,ギムレット
Gin and Bitters,ジン・ビターズ
Gin and It,ジン・アンド・イット
Gin and Lime,ジン・ライム
Gin and Tonic,ジン・トニック
Gin Buck,ジン・バック
Gin Daisy,ジン・デイジー
Gin Fizz,ジン・フィズ
Gin Ricky,ジン・リッキー
Green Fizz,グリーン・フィズ
Hawaian,ハワイアン
Honolulu,ホノルル
Martini,マティーニ
Million Dollar,ミリオン・ダラー
Negroni,ネグローニ
Orange Blossom,オレンジ・ブロッサム
Palm Beach,パーム・ビーチ
Paradise,パラダイス
Parisian,パリジャン
Pink Jin,ピンク・ジン
Pink Lady,ピンク・レディ
Red Lion,レッド・ライオン
Silver Fizz,シルバー・フィズ
Singapore Sling,シンガポール・スリング
Tango,タンゴ
Tom Collins,トム・コリンズ
Western Rose,ウエスタン・ローズ
White Lady,ホワイト・レディ
White Rose,ホワイト・ローズ
Yokohama,ヨコハマ
